up__ID,ID,createdAt,createdBy,modifiedAt,modifiedBy,reviewer_ID,rating,comment
60417645-2b7e-430d-9571-3931f7007c14,25274074-631b-495f-81fa-7b7f420034d3,2018-05-29T22:00:00.000Z,createdBy.f1plm@example.net,2019-11-24T22:00:00.000Z,modifiedBy.f1plm@example.com,5553542f-4efd-4dd8-b51d-9b15b6f1780e,22.07,comment-25274074
60417645-2b7e-430d-9571-3931f7007c14,25274075-d5e1-47f3-a9bd-32371163aa9e,2012-05-23T22:00:00.000Z,createdBy.f1pln@example.com,2022-10-25T22:00:00.000Z,modifiedBy.f1pln@example.com,5553542f-4efd-4dd8-b51d-9b15b6f1780e,49.6,comment-25274075
60417651-2633-4ead-bf6c-34e52f914ad5,10309020-4783-414a-b1d9-a8f0d568c3b1,2021-10-01T22:00:00.000Z,createdBy.m3g6@example.com,2013-03-11T22:00:00.000Z,modifiedBy.m3g6@example.net,5553542f-4efd-4dd8-b51d-9b15b6f1780e,21.78,comment-1030902
60417651-2633-4ead-bf6c-34e52f914ad5,1030903a-7350-400c-8154-7f18a8969a22,2005-07-14T22:00:00.000Z,createdBy.m3g7@example.com,2001-09-12T22:00:00.000Z,modifiedBy.m3g7@example.net,5553542f-4efd-4dd8-b51d-9b15b6f1780e,53.76,comment-1030903
60417662-8b42-4695-b1f4-77182f3cd51a,31245010-d4af-4bc8-9d2e-5156d381d861,2009-10-07T22:00:00.000Z,createdBy.1uyvp@example.net,2010-10-28T22:00:00.000Z,modifiedBy.1uyvp@example.com,5553542f-4efd-4dd8-b51d-9b15b6f1780e,10.7,comment-3124501
60417662-8b42-4695-b1f4-77182f3cd51a,31245025-c390-41fd-9df7-670e795d16ba,2001-07-01T22:00:00.000Z,createdBy.1uyvq@example.net,2000-09-14T22:00:00.000Z,modifiedBy.1uyvq@example.org,5553542f-4efd-4dd8-b51d-9b15b6f1780e,44.69,comment-3124502
60417673-0318-466a-9428-b137c2af209a,28971793-6211-44f4-a38e-587998afe016,2012-08-21T22:00:00.000Z,createdBy.h8ys1@example.com,2022-08-17T22:00:00.000Z,modifiedBy.h8ys1@example.org,5553542f-4efd-4dd8-b51d-9b15b6f1780e,71.02,comment-28971793
60417673-0318-466a-9428-b137c2af209a,28971794-4c3d-4f83-9d51-790940f2104b,2005-02-09T22:00:00.000Z,createdBy.h8ys2@example.net,2021-03-08T22:00:00.000Z,modifiedBy.h8ys2@example.com,5553542f-4efd-4dd8-b51d-9b15b6f1780e,44.27,comment-28971794
6041768c-55c0-4299-96f5-60d19e33fd10,1539536b-dc1d-4ac0-b985-8bf2461f8212,2009-06-19T22:00:00.000Z,createdBy.wzww@example.net,2010-03-19T22:00:00.000Z,modifiedBy.wzww@example.com,5553542f-4efd-4dd8-b51d-9b15b6f1780e,30.38,comment-1539536
6041768c-55c0-4299-96f5-60d19e33fd10,1539537d-eb3a-4d92-b858-020a3e26df3a,2021-03-05T22:00:00.000Z,createdBy.wzwx@example.net,2018-01-08T22:00:00.000Z,modifiedBy.wzwx@example.net,5553542f-4efd-4dd8-b51d-9b15b6f1780e,53.03,comment-1539537
60417691-0418-47ed-9ea0-3fdb1d319ed5,8223960c-d966-4769-8358-e10f0b550a2c,2005-04-14T22:00:00.000Z,createdBy.4w9nc@example.org,2011-04-14T22:00:00.000Z,modifiedBy.4w9nc@example.org,5553542f-4efd-4dd8-b51d-9b15b6f1780e,37.14,comment-8223960
60417691-0418-47ed-9ea0-3fdb1d319ed5,8223961d-7b50-4b94-8e90-4a189cd4a97a,2006-05-15T22:00:00.000Z,createdBy.4w9nd@example.org,2002-01-13T22:00:00.000Z,modifiedBy.4w9nd@example.com,5553542f-4efd-4dd8-b51d-9b15b6f1780e,65.51,comment-8223961
